analysis_id,1y9144trfrqisc0
gene_accession_id,MGI:1338032
parameter_id,IMPC_XRY_025_001
parameter_name,Tibia
gene_symbol,Sema6c
pvalue,0.09397958
mouse_life_stage,Early adult
mouse_strain,C57BL
