gene_symbol,AU040320
mouse_life_stage,Late adult
parameter_id,IMPC_GEL_011_001
parameter_name,Embryo turning
analysis_id,2y3zr46u4l1boda
gene_accession_id,MGI:2140475
mouse_strain,C57BL
pvalue,0.05562941
