parameter_id,HMGULA_SHI_009_001
gene_accession_id,MGI:1914071
mouse_strain,C57BL
pvalue,0.06345092
mouse_life_stage,Early adult
parameter_name,Startle response
gene_symbol,Bcs1l
analysis_id,6kh89k128w6mtmf
