parameter_name,Tongue out
mouse_life_stage,E12.5
gene_accession_id,MGI:97838
analysis_id,chj0n389jq51249
pvalue,0.9927076
gene_symbol,Eprs1
mouse_strain,C57BL
parameter_id,IMPC_GEP_083_001
