parameter_id,GMC_906_001_005
parameter_name,Potassium
mouse_strain,C57BL
gene_accession_id,MGI:1916363
analysis_id,2v0469c7ab4d5j0
pvalue,0.1704842
gene_symbol,Alkbh3
mouse_life_stage,Early adult
