gene_symbol,Trim46
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.4400767
mouse_life_stage,Early adult
gene_accession_id,MGI:2673000
mouse_strain,C57BL
parameter_id,MGP_IMM_007_001
analysis_id,n73l0z804173721
