gene_symbol,Fgb
gene_accession_id,MGI:99501
mouse_life_stage,Early adult
pvalue,0.1662696
analysis_id,1c4t44o635g3gjm
parameter_name,Dark side time spent
mouse_strain,C57BL
parameter_id,JAX_LDT_004_001
