analysis_id,5384elj1v5v584i
gene_accession_id,MGI:1929242
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6227547
parameter_id,HMGULA_CBC_016_001
parameter_name,HDL-cholesterol
gene_symbol,Ivd
