analysis_id,295z21y7ru46885
gene_accession_id,MGI:107414
gene_symbol,Tnfsf10
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.9101877
parameter_name,NKT cells (panel A)
parameter_id,IMPC_IMM_004_001
