parameter_name,HRV
parameter_id,IMPC_ECG_010_001
mouse_strain,C57BL
pvalue,0.8225917
gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
analysis_id,1936jr953t9kst4
