parameter_name,Total bilirubin
gene_accession_id,MGI:1914071
parameter_id,IMPC_CBC_008_001
gene_symbol,Bcs1l
mouse_life_stage,E12.5
mouse_strain,C57BL
analysis_id,4di88vevs8fu5s2
pvalue,0.3528216
