gene_symbol,Kdm4c
parameter_id,IMPC_CSD_047_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Hindlimb digit - size
gene_accession_id,MGI:1924054
analysis_id,y7031jy6s7dpcy0
pvalue,0.373241
