gene_symbol,F2
mouse_strain,C57BL
pvalue,0.9398892
mouse_life_stage,Early adult
parameter_id,MGP_MLN_031_001
analysis_id,8v347ree65a536j
gene_accession_id,MGI:88380
parameter_name,Total NK cells - % of CD45+
