parameter_id,JAX_ROT_002_001
analysis_id,fmo79dr42787r33
pvalue,0.5506843
mouse_strain,C57BL
parameter_name,Average duration
mouse_life_stage,Early adult
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
