analysis_id,xtj08p46o3mb47v
pvalue,0.7846705
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_name,Humerus
parameter_id,IMPC_XRY_021_001
gene_accession_id,MGI:95835
gene_symbol,Hspa5
