parameter_name,Mean platelet volume
mouse_strain,C57BL
analysis_id,u6v5ot0996b02k8
mouse_life_stage,Early adult
gene_accession_id,MGI:1915524
parameter_id,IMPC_HEM_019_001
gene_symbol,Toporsl
pvalue,0.6893142
