parameter_id,IMPC_OWT_004_001
gene_symbol,Nipal3
analysis_id,r3c84j3yji16i07
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_name,Right kidney weight
pvalue,0.5180991
gene_accession_id,MGI:1921802
