parameter_name,Hemorrhage
analysis_id,014886lk25d5ghh
pvalue,0.2752055
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_009_002
gene_accession_id,MGI:2653612
mouse_strain,C57BL
gene_symbol,Amigo1
