analysis_id,z9516q638lq433d
gene_symbol,Mapkap1
parameter_id,HRWLLA_CBC_014_001
parameter_name,Alkaline phosphatase
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:2444554
pvalue,0.99402
