analysis_id,8sg9vfg04je2090
gene_symbol,Slc2a8
parameter_id,IMPC_OWT_004_001
mouse_life_stage,Early adult
parameter_name,Right kidney weight
gene_accession_id,MGI:1860103
mouse_strain,C57BL
pvalue,0.4224219
