parameter_name,Tibia
parameter_id,IMPC_XRY_025_001
analysis_id,i7i7rm544323mo4
gene_symbol,Sdcbp2
mouse_life_stage,Early adult
gene_accession_id,MGI:2385156
mouse_strain,C57BL
pvalue,0.1451003
