gene_symbol,Atf3
mouse_strain,C57BL
analysis_id,50m8ybgucs07p9u
parameter_name,RR
mouse_life_stage,Early adult
pvalue,0.1893114
parameter_id,IMPC_ECG_004_001
gene_accession_id,MGI:109384
