gene_symbol,Golm2
mouse_strain,C57BL
pvalue,0.3064696
gene_accession_id,MGI:2443129
parameter_name,Lower teeth appearance
parameter_id,IMPC_CSD_070_001
mouse_life_stage,Early adult
analysis_id,g4ac7xpippk4q24
