parameter_name,Periphery permanence time
gene_accession_id,MGI:3522699
pvalue,0.1831751
mouse_life_stage,Early adult
gene_symbol,Trpa1
parameter_id,JAX_OFD_012_001
analysis_id,7o0d594w21sy99b
mouse_strain,C57BL
