parameter_id,JAX_OFD_010_001
pvalue,0.9691587
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Periphery distance travelled
gene_symbol,Dnaaf9
analysis_id,n17q7f30461v8wi
gene_accession_id,MGI:1923029
