analysis_id,mleehn72n7b0r59
gene_symbol,Snap23
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1175543
gene_accession_id,MGI:109356
parameter_id,IMPC_XRY_025_001
parameter_name,Tibia
