gene_symbol,Abo
parameter_id,MGP_IMM_101_001
gene_accession_id,MGI:2135738
parameter_name,KLRG1+ NK cells - % of CD45+
mouse_life_stage,Early adult
analysis_id,f18k02603h38t14
pvalue,0.9370227
mouse_strain,C57BL
