analysis_id,mr6y8zqa23hu0jn
parameter_id,MGP_PBI_012_001
gene_symbol,Hpca
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_name,CD4+ KLRG1+ alpha beta T cell percentage
pvalue,0.4609632
gene_accession_id,MGI:1336200
