analysis_id,ssf46775a833uo0
gene_symbol,Opn3
gene_accession_id,MGI:1338022
pvalue,0.8793188
parameter_name,PP1 startle magnitude
parameter_id,ESLIM_011_001_002
mouse_life_stage,Early adult
mouse_strain,C57BL
