analysis_id,7uq9s2335i6n98x
parameter_id,JAXLA_CSD_021_001
gene_accession_id,MGI:109384
pvalue,0.06229838
gene_symbol,ATF3
parameter_name,Hindlimbs - shape
mouse_life_stage,Early adult
mouse_strain,C57BL
