gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
mouse_strain,C57BL
pvalue,0.3385458
analysis_id,f1l8b96606fe3m6
parameter_name,Respiration Rate
parameter_id,IMPC_ECH_018_001
mouse_life_stage,Early adult
