gene_symbol,Pglyrp3
analysis_id,86c093637oye789
parameter_name,Bone Mineral Density (excluding skull)
parameter_id,M-G-P_005_001_004
gene_accession_id,MGI:2685266
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.9329151
