gene_symbol,Mgst2
parameter_id,IMPC_XRY_022_001
gene_accession_id,MGI:2448481
mouse_strain,C57BL
parameter_name,Radius
mouse_life_stage,Early adult
analysis_id,jrch48jqc294s84
pvalue,0.2065391
