gene_symbol,Hspa5
analysis_id,7s185d49o8134r5
pvalue,0.3908723
mouse_strain,C57BL
parameter_id,IMPC_ECH_008_001
gene_accession_id,MGI:95835
parameter_name,LVIDd
mouse_life_stage,E12.5
