parameter_name,Aggression
pvalue,0.9684047
mouse_life_stage,Late adult
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
analysis_id,65758a4f557068h
mouse_strain,C57BL
parameter_id,IMPC_CSD_079_001
