parameter_id,TCPLA_CSD_030_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Sdcbp2
pvalue,0.4929106
parameter_name,Tremor
gene_accession_id,MGI:2385156
analysis_id,h9cr6758itbwttq
