analysis_id,i7idbn077dye5dw
gene_accession_id,MGI:1888742
pvalue,0.2186302
parameter_name,Total protein
parameter_id,IMPC_CBC_006_001
gene_symbol,Extl1
mouse_strain,C57BL
mouse_life_stage,Early adult
