parameter_id,UCD_OWT_003_001
pvalue,0.6651394
parameter_name,Spleen weight
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:87968
analysis_id,m208gwz85o3v9f7
gene_symbol,Ahcy
