analysis_id,ebe88t5438lnxt3
mouse_life_stage,Early adult
gene_symbol,Tox
pvalue,0.3680351
gene_accession_id,MGI:2181659
mouse_strain,C57BL
parameter_id,MGP_IMM_048_001
parameter_name,Follicular B cells - % of B2 cells
