analysis_id,102c729zr9ko2k3
parameter_name,Pale yolk sac
gene_symbol,Casq1
gene_accession_id,MGI:1309468
pvalue,0.5799085
parameter_id,IMPC_GEL_017_002
mouse_life_stage,Early adult
mouse_strain,C57BL
