analysis_id,b28s864mq53p877
parameter_name,Creatinine
gene_symbol,Rhbg
pvalue,0.1986764
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1927379
parameter_id,JAX_URI_002_001
