analysis_id,zid4gofd98994mk
gene_symbol,Sdcbp2
mouse_strain,C57BL
pvalue,0.5979471
parameter_name,Periphery average speed
parameter_id,HRWLLA_OFD_013_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2385156
