parameter_name,Monocyte percentage
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1919935
analysis_id,75m4ggqv4p1n3f1
pvalue,0.8411407
parameter_id,MGP_PBI_016_001
gene_symbol,Dnajc6
