analysis_id,4000z4b00m40dqk
mouse_strain,C57BL
gene_symbol,Ppm1j
gene_accession_id,MGI:1919137
parameter_id,MGP_IMM_100_001
parameter_name,Resting NK cells - % of CD45+
mouse_life_stage,Early adult
pvalue,0.7464096
