gene_symbol,Bcs1l
mouse_life_stage,E9.5
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_accession_id,MGI:1914071
analysis_id,77s2ju6w936c427
pvalue,0.5380991
mouse_strain,C57BL
parameter_id,IMPC_GRS_011_001
