parameter_name,Spleen weight
gene_accession_id,MGI:1345282
mouse_life_stage,Late adult
parameter_id,UCD_OWT_003_001
pvalue,0.1688652
gene_symbol,Slc30a4
mouse_strain,C57BL
analysis_id,98ww6ff34ul9410
