parameter_name,Limb grasp
parameter_id,JAXLA_CSD_039_001
mouse_strain,C53BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2181659
gene_symbol,Tox
analysis_id,d9n1o5l58ffygz6
pvalue,0.7135463
