analysis_id,0w0595j4lihkz53
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Rhbg
parameter_name,Periphery distance travelled
pvalue,0.2957967
parameter_id,ESLIM_007_001_006
gene_accession_id,MGI:1927379
