analysis_id,4ohi8c856zy1i80
mouse_strain,C57BL
gene_symbol,Bmp7
parameter_id,IMPC_CAL_008_001
mouse_life_stage,Early adult
pvalue,0.2131442
gene_accession_id,MGI:103302
parameter_name,Total food intake
