analysis_id,ndo74xw1wjv600l
pvalue,0.2725615
parameter_id,M-G-P_007_001_008
mouse_strain,C57BL
gene_symbol,Mecom
mouse_life_stage,E12.5
gene_accession_id,MGI:95457
parameter_name,Periphery - Permanence Time
