analysis_id,6qoo22f4b32nmz6
mouse_strain,C57BL
pvalue,0.7077204
parameter_name,Contact righting
gene_symbol,Alkbh3
parameter_id,JAXLA_CSD_077_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1916363
