analysis_id,e243rz32x844xlj
gene_symbol,Lcn2
gene_accession_id,MGI:96757
parameter_id,M-G-P_005_001_004
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9676595
parameter_name,Bone Mineral Density (excluding skull)
