gene_symbol,Etfdh
analysis_id,e5ek58qrx79f609
mouse_strain,C57BL
parameter_name,Eye
pvalue,0.7947208
parameter_id,IMPC_EYE_001_001
gene_accession_id,MGI:106100
mouse_life_stage,Early adult
