gene_symbol,Mecom
parameter_name,Resting CD8+ T cells - % of CD8+
parameter_id,MGP_IMM_015_001
analysis_id,62sulgmx9911b09
gene_accession_id,MGI:95457
mouse_life_stage,E15.5
pvalue,0.851384
mouse_strain,C57BL
