gene_symbol,Arpc5l
mouse_strain,C57BL
pvalue,0.555824
parameter_id,IMPC_IMM_055_001
parameter_name,NK Subsets (Q2)
mouse_life_stage,Early adult
analysis_id,2rd248pd90eznig
gene_accession_id,MGI:1921442
