parameter_name,Hindlimbs - size
gene_symbol,Sfpq
gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_022_001
pvalue,0.47483
mouse_strain,C57BL
analysis_id,0peea62p0b5fjqd
