analysis_id,6n9c9l4z1oq4274
mouse_life_stage,Early adult
gene_symbol,Slx4ip
pvalue,0.2041609
gene_accession_id,MGI:1921493
mouse_strain,C57BL
parameter_name,Fasted blood glucose concentration
parameter_id,IMPC_IPG_010_001
