parameter_id,IMPC_GEO_011_001
mouse_life_stage,Late adult
gene_accession_id,MGI:109356
gene_symbol,Snap23
mouse_strain,C57BL
pvalue,0.6418641
analysis_id,59o1zb62quvx5va
parameter_name,Blood Vessel Morphology
