parameter_name,Distance travelled - total
pvalue,0.4132399
mouse_strain,C57BL
gene_accession_id,MGI:2685053
mouse_life_stage,Early adult
analysis_id,t3tse79945880hy
gene_symbol,Ntmt2
parameter_id,JAX_OFD_020_001
