parameter_id,ICS_FEA_016_001
analysis_id,29dr1y5n52f97y8
pvalue,0.5563337
gene_accession_id,MGI:1913576
mouse_life_stage,Early adult
gene_symbol,Dnajc5b
mouse_strain,C58BL
parameter_name,% Freezing duration habituation-1
