analysis_id,d0l53910245954b
gene_accession_id,MGI:2444777
gene_symbol,Ncaph
parameter_name,DN CD44+CD62L+ NKT cells
parameter_id,IMPC_IMM_047_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8747042
