parameter_id,IMPC_GEP_076_001
parameter_name,Cleft palate
analysis_id,2y1y5yl74p0dc0i
mouse_life_stage,E12.5
pvalue,0.7393706
mouse_strain,C57BL
gene_symbol,Fgb
gene_accession_id,MGI:99501
