analysis_id,o72rbzlj48862n2
gene_symbol,Arpc2
gene_accession_id,MGI:1923959
pvalue,0.77172
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_CSD_007_001
parameter_name,Coat - color - abdomen
