analysis_id,x7je1v1o3f1ubgb
gene_accession_id,MGI:1914836
pvalue,0.08140002
parameter_id,ESLIM_011_001_007
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,PP1 + pulse startle magnitude
gene_symbol,Ubxn11
